category,term,ciel_id,concept_name,concept_class,icd10,icd10_map_type,status,flags,note
Malaria & febrile illness,Malaria,116128,Malaria,Diagnosis,B54,SAME-AS,exact,,GHS OPD cause #1
Malaria & febrile illness,Confirmed malaria,160148,"Malaria, confirmed",Diagnosis,B53.8,NARROWER-THAN,pinned,,RDT/microscopy positive
Malaria & febrile illness,Presumed malaria,166623,Suspected malaria,Diagnosis,B54,NARROWER-THAN,pinned,,CIEL name: Suspected malaria
Malaria & febrile illness,Severe malaria,160155,Severe malaria,Diagnosis,B50.8,NARROWER-THAN,exact,,referral dx
Malaria & febrile illness,Malaria in pregnancy,134594,Maternal Malaria During Pregnancy - Baby Not Yet Delivered,Diagnosis,O98.6,NARROWER-THAN,pinned,,"CIEL name: Maternal malaria during pregnancy, baby not yet delivered"
Malaria & febrile illness,Fever,140238,Fever,Diagnosis,R50.9,SAME-AS,exact,,pyrexia of unknown origin
Malaria & febrile illness,Typhoid fever,141,Typhoid fever,Diagnosis,A01.0,SAME-AS,exact,,GHS OPD top-20
Infectious & parasitic,Cholera,122604,Cholera due to Vibrio cholerae,Diagnosis,,,review,no-icd10,NO ICD-10 map in CIEL — clinician/CIEL request decision
Infectious & parasitic,Amebiasis,122594,Amebiasis,Diagnosis,A06.9,NARROWER-THAN,exact,,
Infectious & parasitic,Giardiasis,139457,Giardiasis,Diagnosis,A07.1,SAME-AS,exact,,
Infectious & parasitic,Ascariasis,148353,Ascariasis,Diagnosis,B77.9,SAME-AS,exact,,
Infectious & parasitic,Intestinal helminthiasis,116699,Intestinal Helminthiasis,Diagnosis,B82.0,SAME-AS,exact,,"GHS ""intestinal worms"""
Infectious & parasitic,Schistosomiasis,117152,Schistosomiasis,Diagnosis,B65.9,NARROWER-THAN,exact,,endemic (lakes/irrigation)
Infectious & parasitic,Onchocerciasis,137393,Infection by onchocerca volvulus,Diagnosis,B73,SAME-AS,exact,,endemic (river basins)
Infectious & parasitic,Buruli ulcer,146613,Buruli Ulcer,Diagnosis,A31.1,SAME-AS,exact,,Ghana endemic
Infectious & parasitic,Tuberculosis,112141,Tuberculosis,Diagnosis,A16.9,NARROWER-THAN,pinned,,"all forms, per GHS register; CIEL pulmonary subtypes exist if needed"
Infectious & parasitic,HIV disease,138405,Human immunodeficiency virus (HIV) disease,Diagnosis,B24,SAME-AS,pinned,,
Infectious & parasitic,Measles,134561,Measles,Diagnosis,B05.9,SAME-AS,exact,,
Infectious & parasitic,Varicella,892,Varicella,Diagnosis,B01.9,SAME-AS,exact,,chickenpox
Infectious & parasitic,Mumps,133671,Mumps,Diagnosis,B26.9,SAME-AS,exact,,
Infectious & parasitic,Pertussis,114190,Whooping cough,Diagnosis,A37.9,SAME-AS,pinned,,CIEL name: Whooping cough
Infectious & parasitic,Viral hepatitis B,111759,Hepatitis B,Diagnosis,B16.9,SAME-AS,pinned,,acute/unspecified hepatitis B
Infectious & parasitic,COVID-19,165623,Disease due to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Diagnosis,U07.1,NARROWER-THAN,pinned,,
Infectious & parasitic,Influenza,116958,Influenza,Diagnosis,J11.1,NARROWER-THAN,exact,,
Infectious & parasitic,Meningitis,115835,Meningitis,Diagnosis,G03.9,SAME-AS,exact,,referral dx; northern belt
Infectious & parasitic,Sepsis,126721,Sepsis,Diagnosis,A41.9,NARROWER-THAN,exact,,referral dx
Gastrointestinal,Gastroenteritis,117889,Gastroenteritis,Diagnosis,K52.9,BROADER-THAN,exact,,"GHS ""diarrhoea diseases"""
Gastrointestinal,Diarrhea,142412,Diarrhea,Diagnosis,A09.9,SAME-AS,exact,,
Gastrointestinal,Dysentery,126558,Shigellosis,Diagnosis,A03.9,NARROWER-THAN,pinned,,CIEL name: Shigellosis (bacillary dysentery); amoebic covered by Amebiasis
Gastrointestinal,Food poisoning,121272,Bacterial food poisoning,Diagnosis,A05.9,NARROWER-THAN,pinned,,CIEL name: Bacterial food poisoning
Gastrointestinal,Gastroesophageal reflux disease,1293,Gastroesophageal reflux disease,Diagnosis,K21.9,SAME-AS,exact,,
Gastrointestinal,Gastritis,110834,Gastritis,Diagnosis,K29.7,SAME-AS,exact,,
Gastrointestinal,Peptic ulcer disease,114262,Peptic ulcer,Diagnosis,K27.9,BROADER-THAN,exact,,
Gastrointestinal,Dyspepsia,111,Dyspepsia,Symptom/Finding,K30,NARROWER-THAN,review,class=Symptom/Finding,
Gastrointestinal,Constipation,996,Constipation,Diagnosis,K59.0,SAME-AS,exact,,
Gastrointestinal,Hemorrhoids,138849,Hemorrhoids,Diagnosis,I84.9,SAME-AS,exact,,
Gastrointestinal,Acute appendicitis,149906,Acute Appendicitis,Diagnosis,K35.9,SAME-AS,exact,,referral dx
Gastrointestinal,Inguinal hernia,116954,Inguinal hernia,Diagnosis,K40.9,BROADER-THAN,exact,,referral dx
Dental & oral,Oral candidiasis,5334,"Candidiasis, oral",Diagnosis,B37.0,NARROWER-THAN,pinned,,
Dental & oral,Dental caries,119558,Dental caries,Diagnosis,K02.9,SAME-AS,exact,,GHS OPD top-20
Dental & oral,Gingivitis,139438,Gingivitis,Diagnosis,K05.1,BROADER-THAN,exact,,
Dental & oral,Periodontitis,130463,Periodontitis,Diagnosis,K05.3,BROADER-THAN,exact,,
Dental & oral,Aphthous ulcer,148531,Aphthous ulceration,Diagnosis,K12.0,SAME-AS,pinned,,mouth ulcer
Respiratory,Upper respiratory tract infection,149478,Acute Upper Respiratory Infection,Diagnosis,J06.9,SAME-AS,pinned,,GHS OPD cause #2
Respiratory,Common cold,106,Acute Coryza,Diagnosis,J00,NARROWER-THAN,exact,,acute nasopharyngitis
Respiratory,Acute pharyngitis,149579,Acute pharyngitis,Diagnosis,J02.9,SAME-AS,exact,,
Respiratory,Acute tonsillitis,149496,Acute tonsillitis,Diagnosis,J03.9,SAME-AS,exact,,
Respiratory,Acute sinusitis,121832,Acute Sinusitis,Diagnosis,J01.9,SAME-AS,exact,,
Respiratory,Allergic rhinitis,121692,Allergic rhinitis,Diagnosis,J30.4,SAME-AS,exact,,
Respiratory,Acute otitis media,149609,Acute Otitis Media,Diagnosis,H66.9,NARROWER-THAN,exact,,"GHS ""acute ear infection"""
Respiratory,Chronic suppurative otitis media,145151,Chronic Tubotympanic Suppurative Otitis Media,Diagnosis,H66.1,SAME-AS,pinned,,tubotympanic (safe) CSOM — clinician to confirm subtype
Respiratory,Otitis externa,114431,Otitis externa,Diagnosis,H60.9,SAME-AS,exact,,
Respiratory,Impacted cerumen,530,Cerumen impaction,Diagnosis,H61.2,SAME-AS,exact,,very common ENT presentation
Respiratory,Pneumonia,114100,Pneumonia,Diagnosis,J18.9,SAME-AS,exact,,
Respiratory,Acute bronchitis,10,Acute bronchitis,Diagnosis,J20.9,SAME-AS,exact,,
Respiratory,Bronchiolitis,121009,Bronchiolitis,Diagnosis,J21.9,BROADER-THAN,exact,,paediatric
Respiratory,Asthma,121375,Asthma,Diagnosis,J45.9,SAME-AS,exact,,
Respiratory,Acute exacerbation of asthma,4,Asthma exacerbation,Diagnosis,J45.9,NARROWER-THAN,pinned,,
Respiratory,Chronic obstructive pulmonary disease,1295,Chronic obstructive pulmonary disease,Diagnosis,J44.9,NARROWER-THAN,exact,,
Cardiovascular,Essential hypertension,140987,Essential hypertension,Diagnosis,I10,SAME-AS,exact,,GHS OPD top-5
Cardiovascular,Congestive heart failure,119910,Congestive Heart Failure,Diagnosis,I50.0,SAME-AS,exact,,
Cardiovascular,Angina pectoris,121610,Angina pectoris,Diagnosis,I20.9,SAME-AS,exact,,
Cardiovascular,Cerebrovascular accident,111103,Cerebrovascular accident,Diagnosis,I64,NARROWER-THAN,exact,,stroke; referral dx
Endocrine & metabolic,Diabetes mellitus type 2,142473,"Diabetes mellitus, type 2",Diagnosis,E11.9,SAME-AS,pinned,,
Endocrine & metabolic,Diabetes mellitus type 1,142474,"Diabetes mellitus, type 1",Diagnosis,E10.9,SAME-AS,exact,,
Endocrine & metabolic,Diabetes mellitus,119481,Diabetes mellitus,Diagnosis,E14.9,SAME-AS,exact,,unspecified — register category
Endocrine & metabolic,Hypoglycemia,138061,Hypoglycemic Syndrome,Diagnosis,E16.2,NARROWER-THAN,exact,,CIEL name: Hypoglycemic syndrome
Endocrine & metabolic,Hyperlipidemia,117441,Hyperlipidemia,Diagnosis,E78.5,SAME-AS,exact,,
Endocrine & metabolic,Goiter,117772,Goiter,Diagnosis,E04.9,BROADER-THAN,exact,,
Endocrine & metabolic,Hyperthyroidism,138176,Hyperthyroidism,Diagnosis,E05.5,NARROWER-THAN,exact,,CIEL's only ICD map is E05.5 (thyrotoxic crisis) — GHS expects E05.9; clinician to advise
Endocrine & metabolic,Hypothyroidism,117321,Hypothyroidism,Diagnosis,E03.9,NARROWER-THAN,exact,,
Endocrine & metabolic,Obesity,115115,Obesity,Diagnosis,E66.9,SAME-AS,exact,,
Endocrine & metabolic,Gout,117762,Gout,Diagnosis,M10.9,SAME-AS,exact,,
Nutrition,Severe acute malnutrition,163302,Severe acute malnutrition,Diagnosis,E63.9,NARROWER-THAN,exact,,
Nutrition,Moderate acute malnutrition,163303,Moderate acute malnutrition,Diagnosis,E63.9,NARROWER-THAN,exact,,
Nutrition,Kwashiorkor,116474,Kwashiorkor,Diagnosis,E40,SAME-AS,exact,,
Nutrition,Marasmus,132636,Nutritional marasmus,Diagnosis,E41,SAME-AS,pinned,,CIEL name: Nutritional marasmus
Blood,Iron deficiency anemia,1226,"Anemia, iron deficiency",Diagnosis,D50.9,NARROWER-THAN,exact,,
Blood,Anemia,121629,Anaemia,Diagnosis,D64.9,NARROWER-THAN,exact,,GHS OPD top-10; unspecified
Blood,Sickle cell anemia,117703,Sickle-cell anemia,Diagnosis,D57.1,SAME-AS,pinned,,high prevalence
Blood,Sickle cell crisis,117643,Hb-SS disease with crisis,Diagnosis,D57.0,SAME-AS,pinned,,CIEL name: Hb-SS disease with crisis
Blood,Glucose-6-phosphate dehydrogenase deficiency,139387,Glucose-6-Phosphate Dehydrogenase Deficiency Anemia,Diagnosis,D55.0,SAME-AS,pinned,,common in Ghana
Genitourinary,Urinary tract infection,111633,Urinary tract infection,Diagnosis,N39.0,NARROWER-THAN,exact,,
Genitourinary,Acute pyelonephritis,149554,Acute pyelonephritis,Diagnosis,N10,NARROWER-THAN,exact,,
Genitourinary,Gonorrhea,117767,Gonorrhea,Diagnosis,A54.9,SAME-AS,exact,,
Genitourinary,Syphilis,112493,Syphilis,Diagnosis,A53.9,NARROWER-THAN,exact,,
Genitourinary,Chlamydia,120733,Chlamydia,Diagnosis,A74.9,SAME-AS,exact,,
Genitourinary,Genital herpes,117829,Genital herpes,Diagnosis,A60.9,BROADER-THAN,exact,,
Genitourinary,Trichomoniasis,117146,Trichomoniasis,Diagnosis,A59.9,NARROWER-THAN,exact,,
Genitourinary,Vulvovaginal candidiasis,146520,Candidal Vulvovaginitis,Diagnosis,B37.3,SAME-AS,pinned,,CIEL name: Candidal vulvovaginitis
Genitourinary,Bacterial vaginosis,148002,Bacterial Vaginosis,Diagnosis,N76.0,SAME-AS,exact,,
Genitourinary,Pelvic inflammatory disease,902,Pelvic inflammatory disease,Diagnosis,N73.9,SAME-AS,exact,,GHS OPD top-20
Genitourinary,Sexually transmitted infection,112992,Sexually transmitted disease,Diagnosis,A64,SAME-AS,pinned,,CIEL name: Sexually transmitted disease
Genitourinary,Benign prostatic hyperplasia,121164,Benign prostatic hypertrophy,Diagnosis,N40,SAME-AS,pinned,,CIEL name: Benign prostatic hypertrophy
Genitourinary,Urolithiasis,111628,Urinary Calculus,Diagnosis,N20.9,NARROWER-THAN,pinned,,CIEL name: Urinary calculus; covers renal colic
Gynaecological,Dysmenorrhea,118794,Dysmenorrhea,Diagnosis,N94.6,SAME-AS,exact,,
Gynaecological,Menorrhagia,134345,Hypermenorrhoea,Diagnosis,N92.0,NARROWER-THAN,exact,,
Gynaecological,Infertility,118293,Female infertility,Diagnosis,N97.9,SAME-AS,pinned,,CIEL has no sex-neutral dx — female infertility; clinician to confirm
Pregnancy-related,Pregnancy,152305,Pregnancy confirmed,Diagnosis,Z32.1,SAME-AS,pinned,,CIEL name: Pregnancy confirmed
Pregnancy-related,Pregnancy-induced hypertension,112275,Transient Hypertension of Pregnancy,Diagnosis,O13,BROADER-THAN,pinned,,= gestational HTN; plain PIH concept (CIEL 113859) has no ICD-10 map
Pregnancy-related,Pre-eclampsia,129251,Pre-eclampsia,Diagnosis,O14.9,SAME-AS,exact,,referral dx
Pregnancy-related,Hyperemesis gravidarum,490,Hyperemesis gravidarum,Diagnosis,O21.9,NARROWER-THAN,exact,,
Pregnancy-related,Threatened abortion,112416,Threatened abortion,Diagnosis,O20.0,SAME-AS,exact,,
Pregnancy-related,Anemia in pregnancy,148834,"Anemia of Mother, Complicating Pregnancy, Childbirth, or the Puerperium, Unspecified as to Episode of Care",Diagnosis,O99.0,SAME-AS,pinned,,CIEL name: Anemia of mother complicating pregnancy
Pregnancy-related,Mastitis,134615,Mastitis,Diagnosis,N61,NARROWER-THAN,exact,,
Musculoskeletal,Osteoarthritis,114702,Osteoarthrosis,Diagnosis,M19.8,BROADER-THAN,pinned,,CIEL name: Osteoarthrosis; GHS rheumatism & joint pains
Musculoskeletal,Rheumatoid arthritis,127417,Rheumatoid arthritis,Diagnosis,M06.9,SAME-AS,exact,,
Musculoskeletal,Arthralgia,80,Joint pain,Finding,M25.5,NARROWER-THAN,review,class=Finding,joint pain unspecified
Musculoskeletal,Low back pain,116225,Low back pain,Diagnosis,M54.5,SAME-AS,exact,,
Musculoskeletal,Neck pain,133469,Neck Pain,Diagnosis,M54.2,SAME-AS,exact,,
Musculoskeletal,Myalgia,121,Myalgia,Finding,M79.1,NARROWER-THAN,review,class=Finding,
Musculoskeletal,Sciatica,127112,Sciatica,Diagnosis,M54.3,SAME-AS,exact,,
Musculoskeletal,Sprain,112770,Sprain,Diagnosis,T14.6,NARROWER-THAN,exact,,
Musculoskeletal,Fracture,177,Fracture,Diagnosis,T14.2,SAME-AS,exact,,referral dx
Skin & soft tissue,Cellulitis,134,Cellulitis,Diagnosis,L03.9,SAME-AS,exact,,
Skin & soft tissue,Skin abscess,150555,Abscess of skin and subcutaneous tissue,Diagnosis,L02.9,NARROWER-THAN,exact,,
